cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu_0,mu_0_std,grazing,grazing_std,mu_N,mu_N_std,iode_quality_flag
en608,1,11-12-13-14,NA,L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.1964,-70.8777,2.84,2.31,1,5.02,1.22,15%,>0&<200,6.72,0.96,5.76,0.14,0.86,1.02,0.2,0.12,0.09,0.24,0.07,n/n,n/n,1
en608,1,11-12-13-14,NA,L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.1964,-70.8777,2.84,2.31,1,5.02,1.22,65%,>0&<10,6.72,0.96,5.76,0.14,0.86,1.02,0.2,NaN,NaN,NaN,NaN,1.3,0,1
en608,1,11-12-13-14,NA,L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.1964,-70.8777,2.84,2.31,1,5.02,1.22,65%,>0&<200,6.72,0.96,5.76,0.14,0.86,1.02,0.2,0.17,0.2,0.43,0.11,n/n,n/n,1
en608,1,11-12-13-14,NA,L1,2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.1964,-70.8777,2.84,2.31,1,5.02,1.22,65%,>10&<200,6.72,0.96,5.76,0.14,0.86,1.02,0.2,NaN,NaN,0.31,0.13,0.38,0.06,1
en608,5,17-18-19-20,NA,L3,2018-02-01 09:33:26+00:00,2018-02-01 11:00:00+00:00,2018-02-02 11:00:00+00:00,40.8559,-70.8844,3.13,4.87,1,6.84,1.05,15%,>0&<200,2.88,0,2.88,0,1,1,0.23,0.42,0.07,0.19,0.05,n/n,n/n,1
en608,5,17-18-19-20,NA,L3,2018-02-01 09:33:26+00:00,2018-02-01 11:00:00+00:00,2018-02-02 11:00:00+00:00,40.8559,-70.8844,3.13,4.87,1,6.84,1.05,65%,>0&<10,2.88,0,2.88,0,1,1,0.23,NaN,NaN,NaN,NaN,n/n,n/n,3
en608,5,17-18-19-20,NA,L3,2018-02-01 09:33:26+00:00,2018-02-01 11:00:00+00:00,2018-02-02 11:00:00+00:00,40.8559,-70.8844,3.13,4.87,1,6.84,1.05,65%,>0&<200,2.88,0,2.88,0,1,1,0.23,0.29,0.11,NaN,NaN,n/n,n/n,1
en608,5,17-18-19-20,NA,L3,2018-02-01 09:33:26+00:00,2018-02-01 11:00:00+00:00,2018-02-02 11:00:00+00:00,40.8559,-70.8844,3.13,4.87,1,6.84,1.05,65%,>10&<200,2.88,0,2.88,0,1,1,0.23,NaN,NaN,0,0,0.11,0.06,1
en608,8,20-21-22-23,NA,L4,2018-02-01 19:31:38+00:00,2018-02-01 20:30:00+00:00,2018-02-02 20:50:00+00:00,40.6928,-70.8842,5.33,4.5,1,7.19,1.1,15%,>0&<200,3.13,1.2,1.93,0.38,0.62,1.01,0.21,0.34,0.07,NaN,NaN,n/n,n/n,1
en608,8,20-21-22-23,NA,L4,2018-02-01 19:31:38+00:00,2018-02-01 20:30:00+00:00,2018-02-02 20:50:00+00:00,40.6928,-70.8842,5.33,4.5,1,7.19,1.1,65%,>0&<10,3.13,1.2,1.93,0.38,0.62,1.01,0.21,NaN,NaN,0,0,-0.77,0.57,1
en608,8,20-21-22-23,NA,L4,2018-02-01 19:31:38+00:00,2018-02-01 20:30:00+00:00,2018-02-02 20:50:00+00:00,40.6928,-70.8842,5.33,4.5,1,7.19,1.1,65%,>0&<200,3.13,1.2,1.93,0.38,0.62,1.01,0.21,0.28,0.08,NaN,NaN,n/n,n/n,1
en608,8,20-21-22-23,NA,L4,2018-02-01 19:31:38+00:00,2018-02-01 20:30:00+00:00,2018-02-02 20:50:00+00:00,40.6928,-70.8842,5.33,4.5,1,7.19,1.1,65%,>10&<200,3.13,1.2,1.93,0.38,0.62,1.01,0.21,NaN,NaN,0,0,0.57,0.16,1
en608,15,22-23-24,NA,L8,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,40.12,-70.8063,6.11,8.51,1,8.97,1.35,15%,>0&<200,2.35,0.38,1.97,0.16,0.84,1.01,0.16,0.55,0.06,0.36,0.04,n/n,n/n,1
en608,15,22-23-24,NA,L8,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,40.12,-70.8063,6.11,8.51,1,8.97,1.35,65%,>0&<10,2.35,0.38,1.97,0.16,0.84,1.01,0.16,NaN,NaN,NaN,NaN,n/n,n/n,1
en608,15,22-23-24,NA,L8,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,40.12,-70.8063,6.11,8.51,1,8.97,1.35,65%,>0&<200,2.35,0.38,1.97,0.16,0.84,1.01,0.16,0.59,0.1,0.47,0.06,n/n,n/n,1
en608,15,22-23-24,NA,L8,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,40.12,-70.8063,6.11,8.51,1,8.97,1.35,65%,>10&<200,2.35,0.38,1.97,0.16,0.84,1.01,0.16,NaN,NaN,0.37,0.06,0.46,0.07,1
