cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.86449403,2.136277206,28.2,15.7,1.075,1.04,27.125,14.66,1.85027285129604,0.799715025115243,0.268998333130959,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.86449403,2.136277206,31.6,17.1,1.075,1.04,30.525,16.06,1.90068493150685,0.928028707444202,0.242744589515824,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.86449403,2.136277206,31,17.2,1.075,1.04,29.925,16.16,1.85179455445545,0.883118918629067,0.294944373953376,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.86449403,2.136277206,21.2,11.4,1.075,1.04,20.125,10.36,1.94256756756757,0.626491553971147,0.128751992511162,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.86449403,2.136277206,20.1,11.3,1.075,1.04,19.025,10.26,1.85428849902534,0.562334712806667,0.185618838053226,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.86449403,2.136277206,17.1,9.83,1.075,1.04,16.025,8.79,1.8230944254835,0.464174745825013,0.176615869385363,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.86449403,2.136277206,143,77.2,1.075,1.04,141.925,76.16,1.86351102941176,4.21927465918203,1.33278600685008,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.86449403,2.136277206,142,75.8,1.075,1.04,140.925,74.76,1.88503210272873,4.24493739564782,1.20506333167046,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.86449403,2.136277206,141,77.4,1.075,1.04,139.925,76.36,1.83243844944997,4.07812960862017,1.48851104865677,1,NaN,NaN
at46,1',16-17-24',NaN,NaN,02/16/2022 14:20,02/17/2022 14:40,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.86449403,2.136277206,71.1,34.5,1.075,1.04,70.025,33.46,2.09279736999402,2.34589489717921,0.0933376380812205,1,NaN,NaN
