cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,a,>0&<200,151,6,1.393,2.13,36.3,21.3,0.521,0.521,35.779,20.779,1.72188267000337,1.56501260036336,0.884781960298893,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,b,>0&<200,151,6,1.393,2.13,34.4,20,0.521,0.521,33.879,19.479,1.73925766209764,1.50241209634882,0.794115563651175,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,c,>0&<200,151,6,1.393,2.13,27.3,17.1,0.521,0.521,26.779,16.579,1.61523614210749,1.06420856824708,0.890416005660201,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,a,>10&<200,151,6,1.393,2.13,24.4,13.2,0.521,0.521,23.879,12.679,1.88335042195757,1.16854274160464,0.326281130315888,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,b,>10&<200,151,6,1.393,2.13,29.2,14.7,0.521,0.521,28.679,14.179,2.02263911418295,1.51284551368458,0.158824782077008,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,dil,NA,NA,NA,c,>10&<200,151,6,1.393,2.13,23.2,14.7,0.521,0.521,22.679,14.179,1.59947810141759,0.886840473539237,0.784829822222352,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,a,>0&<200,151,6,1.393,2.13,122,64.1,0.521,0.521,121.479,63.579,1.91067805407446,6.04094863740257,1.45486388352458,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,b,>0&<200,151,6,1.393,2.13,148,73.8,0.521,0.521,147.479,73.279,2.0125684029531,7.74159566313075,0.897823731968583,3,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,c,>0&<200,151,6,1.393,2.13,132,70.8,0.521,0.521,131.479,70.279,1.87081489491882,6.38525140948251,1.90047513793471,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,T0,wsw,NA,NA,NA,a,>10&<200,151,6,1.393,2.13,103,51.2,0.521,0.521,102.479,50.679,2.02211961561988,5.40451017992147,0.570423095972572,1,NaN,NaN
