cruise,cast,niskin,niskin_other_method,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.79591678,2.182214006,8.22,5.11,0.806,0.806,7.414,4.304,1.72258364312268,0.180358639627361,0.114724859563297,3,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.79591678,2.182214006,6.7,4.27,0.806,0.806,5.894,3.464,1.70150115473441,0.140923310062536,0.0965695433752979,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.79591678,2.182214006,6.66,4.16,0.806,0.806,5.854,3.354,1.7453786523554,0.144982829282444,0.0849683919734721,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.79591678,2.182214006,2.53,1.69,0.806,0.806,1.724,0.884,1.95022624434389,0.0487142306389013,0.0118930679866891,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.79591678,2.182214006,2.56,1.68,0.806,0.806,1.754,0.874,2.00686498855835,0.0510339559074204,0.00888773979254112,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.79591678,2.182214006,2.58,1.72,0.806,0.806,1.774,0.914,1.94091903719912,0.0498740932731608,0.0127900141293161,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.79591678,2.182214006,25.4,15.2,0.806,0.806,24.594,14.394,1.70862859524802,0.591529943472373,0.395326907677794,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.79591678,2.182214006,24.7,14.6,0.806,0.806,23.894,13.794,1.73220240684356,0.585730630301075,0.359990045311361,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.79591678,2.182214006,25.8,15.7,0.806,0.806,24.994,14.894,1.67812541963207,0.585730630301075,0.435406367130534,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.79591678,2.182214006,7.98,4.41,0.806,0.806,7.174,3.604,1.99056603773585,0.20703548021533,0.0400558141813072,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.79591678,2.182214006,7.54,4.82,0.806,0.806,6.734,4.014,1.67762830094669,0.157741318259299,0.117459696088121,3,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.79591678,2.182214006,8.4,4.75,0.806,0.806,7.594,3.944,1.92545638945233,0.211674930752369,0.0587268631156499,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,a,a,>0&<200,152,6,0.79591678,2.182214006,41.2,23.3,0.882,0.882,40.318,22.418,1.79846551877955,1.0380770576623,0.498907581012455,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,a,b,>0&<200,152,6,0.79591678,2.182214006,41.5,22.4,0.882,0.882,40.618,21.518,1.88762896179942,1.10766881571787,0.367611559650286,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,a,c,>0&<200,152,6,0.79591678,2.182214006,41.1,23.2,0.882,0.882,40.218,22.318,1.80204319383457,1.0380770576623,0.492051551756167,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,b,a,>0&<200,152,6,0.79591678,2.182214006,42.2,23.1,0.882,0.882,41.318,22.218,1.85966333603385,1.10766881571787,0.415603764444305,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,b,b,>0&<200,152,6,0.79591678,2.182214006,38.1,22.2,0.882,0.882,37.218,21.318,1.74584857866592,0.922090794236346,0.539477522619237,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,dil,N,15%,b,c,>0&<200,152,6,0.79591678,2.182214006,38.6,19,0.882,0.882,37.718,18.118,2.08179710784855,1.13666538157436,0.105509999079987,3,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,a,a,>0&<200,152,6,0.79591678,2.182214006,214,121,0.882,0.882,213.118,120.118,1.77423866531244,5.39336124930693,2.84196397276169,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,a,b,>0&<200,152,6,0.79591678,2.182214006,210,118,0.882,0.882,209.118,117.118,1.78553253983162,5.33536811759395,2.69427622678602,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,a,c,>0&<200,152,6,0.79591678,2.182214006,213,128,0.882,0.882,212.118,127.118,1.66867005459494,4.92941619560311,3.78583107440571,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,b,a,>0&<200,152,6,0.79591678,2.182214006,201,119,0.882,0.882,200.118,118.118,1.69422103320408,4.75543680046417,3.34276783647868,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,b,b,>0&<200,152,6,0.79591678,2.182214006,142,82.4,0.882,0.882,141.118,81.518,1.73112686768566,3.45639065009347,2.13250727904779,3,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,NoN,15%,b,c,>0&<200,152,6,0.79591678,2.182214006,188,109,0.882,0.882,187.118,108.118,1.73068314249246,4.58145740532524,2.83114430598876,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,a,a,>0&<200,152,6,0.79591678,2.182214006,45,27.9,0.882,0.882,44.118,27.018,1.63291139240506,0.991682552291919,0.860679432172108,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,a,b,>0&<200,152,6,0.79591678,2.182214006,45,27.6,0.882,0.882,44.118,26.718,1.65124635077476,1.00908049180581,0.82271340488935,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,a,c,>0&<200,152,6,0.79591678,2.182214006,46.3,28.6,0.882,0.882,45.418,27.718,1.63857421170359,1.02647843131971,0.873875757938342,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,b,a,>0&<200,152,6,0.79591678,2.182214006,46.3,28.7,0.882,0.882,45.418,27.818,1.63268387375081,1.02067911814841,0.886531100365928,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,b,b,>0&<200,152,6,0.79591678,2.182214006,44.1,27.1,0.882,0.882,43.218,26.218,1.64840948966359,0.985883239120621,0.811630511293098,1,NaN,NaN
en644,1',20-21-22',NA',L1,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,41.19684,-70.8775733333333,2.43033333333333,20.8316,3,24.1979041533546,2.00346426504113,TF,wsw,N,15%,b,c,>0&<200,152,6,0.79591678,2.182214006,43.7,26.6,0.882,0.882,42.818,25.718,1.66490395831713,0.991682552291919,0.771551051840358,1,NaN,NaN
