cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,8.67,5.44,1.06,1.06,7.61,4.38,1.73744292237443,0.179582192224345,0.119624567920349,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,8.82,5.46,1.06,1.06,7.76,4.4,1.76363636363636,0.186809958474861,0.113763042583736,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,8.56,5.3,1.06,1.06,7.5,4.24,1.7688679245283,0.181250138282157,0.108392935465219,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,2.5,2.03,1.06,1.06,1.44,0.97,1.48453608247423,0.0261311549057097,0.0401315294185719,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,2.3,1.64,1.06,1.06,1.24,0.58,2.13793103448276,0.0366948132718477,0.002926173231331,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.776503022,2.22867365,2.02,1.47,1.06,1.06,0.96,0.41,2.34146341463415,0.0305790110598731,-0.00257107232486746,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,38.9,21.8,1.06,1.06,37.84,20.74,1.824493731919,0.950729252952417,0.466062574764697,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,24.1,25.1,1.06,1.06,23.04,24.04,0.958402662229617,-0.0555982019270419,1.6978197804381,3
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,39.8,24.4,1.06,1.06,38.74,23.34,1.65981148243359,0.856212309676446,0.738190836848021,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,5.77,3.33,1.06,1.06,4.71,2.27,2.07488986784141,0.135659612701982,0.0194087310259757,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,4.03,2.55,1.06,1.06,2.97,1.49,1.99328859060403,0.0822853388520221,0.01949960923373,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.776503022,2.22867365,5.71,3.35,1.06,1.06,4.65,2.29,2.03056768558952,0.131211756547819,0.0252228280940417,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,22.6,12.3,1.07,1.055,21.53,11.245,1.91462872387728,0.571827506819626,0.196341447022174,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,24.3,13.2,1.07,1.055,23.23,12.145,1.91272128447921,0.61630606836126,0.213343726606163,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,30.1,14.4,1.07,1.055,29.03,13.345,2.17534657174972,0.872057797225653,0.0395664525759326,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,b,a,>0&<200,122,6,0.776503022,2.22867365,13.2,6.81,1.07,1.055,12.13,5.755,2.10773240660295,0.44159555465003,0.0482130116801086,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,21.8,13.8,1.07,1.055,20.73,12.745,1.62652020400157,0.44395164238743,0.426685379997074,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,23.4,12.9,1.07,1.055,22.33,11.845,1.88518362178134,0.582947147205035,0.226209034053847,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,c,a,>0&<200,152,6,0.776503022,2.22867365,21,11.9,1.07,1.055,19.93,10.845,1.8377132319041,0.505109664507176,0.23573447105657,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,c,b,>0&<200,152,6,0.776503022,2.22867365,21.9,12.1,1.07,1.055,20.83,11.045,1.88592123132639,0.544028405856105,0.210478138846668,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,dil,N,65%,c,c,>0&<200,152,6,0.776503022,2.22867365,13.2,12.3,1.07,1.055,12.13,11.245,1.07870164517563,0.049204408705432,0.718964545136369,3
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,a,a,>0&<200,72,6,0.776503022,2.22867365,33.1,25,1.07,1.055,32.03,23.945,1.33764877845062,0.948968643224728,2.50424321780088,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,51.5,30.6,1.07,1.055,50.43,29.545,1.70688779827382,1.16116844724627,0.857110942816512,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,55,30.1,1.07,1.055,53.93,29.045,1.85677397142365,1.38356125495444,0.600562112260777,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,54.5,28.7,1.07,1.055,53.43,27.645,1.93271839392295,1.43359963668878,0.454886866553249,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,60.3,31.4,1.07,1.055,59.23,30.345,1.95188663700774,1.60595406266261,0.466974963956285,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,NoN,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,63.4,31.3,1.07,1.055,62.33,30.245,2.06083650190114,1.78386830882914,0.282229513220238,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,N,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,103,53.2,1.07,1.055,101.93,52.145,1.95474158596222,2.76795648293778,0.794175139835066,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,N,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,108,53.7,1.07,1.055,106.93,52.645,2.03115205622566,3.01814839160947,0.578139254010945,1
en687,1',19-20-21-22',NA',L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.874285,3.14025,22.4369,3,24.52,1.89092915214168,TF,wsw,N,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,108,52.8,1.07,1.055,106.93,51.745,2.06647985312591,3.06818677334381,0.466620031150985,1
