cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,0.437899523186386,0.0613412007394959,NaN,NaN,NaN,NaN,0.419918666642281,0.0905557344034254,0.467321211398218,NaN,NaN,NaN,0.377865887900306,-0.0813239841691889,-1.50654016042377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,0.807073861257651,0.122016349944346,0.160058393926593,NaN,NaN,NaN,0.308860896065351,0.270975422561693,0.408367711957684,NaN,NaN,NaN,0.550911158847656,-0.503002310104974,-1.02768313668794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,0.74073508719245,-0.17905542006047,-0.153969422662697,NaN,NaN,NaN,0.35799576553928,0.492432672442397,0.492432672442397,NaN,NaN,NaN,0.480431084790268,-2.10703995947473,-1.82750471972377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,-0.0384391701801654,0.00575733643934488,0.108550632264389,NaN,NaN,NaN,0.221104530769547,0.323846047385902,NaN,NaN,NaN,NaN,0.658223568550588,-0.69361473844077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,-0.0769820093090538,0.111258523485808,-0.0515510198735254,NaN,NaN,NaN,NaN,0.320162137078405,0.55108990299628,NaN,NaN,NaN,NaN,-0.678708136766634,-4.5621127742568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,0.189981115876102,-0.00635461142538755,0.0990140339794798,NaN,NaN,NaN,0.183692322876486,0.124888022088936,0.588342172978958,NaN,NaN,NaN,0.6980795515647,-0.143812945870183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,NaN,NaN,-0.0218357980037766,NaN,NaN,NaN,NaN,0.15950443704621,0.0407913995823226,NaN,NaN,NaN,NaN,-1.85988161155417,-0.234632410574993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,0.542498269188287,0.0170726615485551,0.0101077625387939,NaN,NaN,NaN,0.35634447061365,-0.0311386372798462,0.0622687876446393,NaN,NaN,NaN,-0.269323794739635,-0.139448622740349,-0.341483424447014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,0.391700078661435,NaN,0.0274317508798914,NaN,NaN,NaN,0.235180290613525,0.197437105692213,-0.088619021496577,NaN,NaN,NaN,0.3545833531894,-5.65246585004058,0.217084025864272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,0.0324834781063614,0.11936322781466,-0.100502091405823,NaN,NaN,NaN,NaN,0.00994342988858627,0.0874593010457587,NaN,NaN,NaN,NaN,-0.321038624217592,-0.486474329579975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
