cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.3581938854788,NaN,1.56283696646017
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.36873208564215,NaN,1.56465920049546
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.3475429751549,0.616021189912253,1.40077778950963
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.23425611836644,0.735934093013269,1.39647605227022
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.39969366612731,0.79679930302853,1.36360671138854
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.25796796768835,0.752531987604608,1.38345821170502
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.84141782671775,NaN,1.25392567545698
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.80876406125037,NaN,1.60800107801162
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.78122726656396,NaN,1.36997594890869
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.70384072615382,NaN,1.47390293512531
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.47489433566687,NaN,1.39941210051898
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.7560940556857,NaN,1.32932334025718
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.16109918978163,NaN,1.57534928371963
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.17922104111991,NaN,1.48320982921483
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.19380658354394,NaN,1.54954252312291
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.14546015978261,NaN,1.35313163925391
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.24349176756496,NaN,1.37602576528716
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.11806540663871,NaN,1.3956352719001
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.53267098658532,0.697545375883478,1.32961533575038
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,NaN,0.744267619656235,1.42201208275692
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.62596773421563,0.662133622817552,NaN
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,b,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.53267098658532,0.295934671649749,1.52567404894206
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,b,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.49645424550173,0.340484939376304,1.46115085687963
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,b,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.56761669926098,0.302422320799587,1.40719575343602
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,a,a,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.56750471575852,NaN,1.82550276754366
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,a,b,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.51622186852071,NaN,1.52632822988339
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,a,c,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,1.38208725493719,NaN,NaN
