cruise,cast,niskin,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
en627,11-12',11-12',0.312258064516129,0.0353192790075607,0.234383372997247,0.234383372997247,0.376680111085319,0.043800779338719,0.244538837549296,0.0364907892975614,NaN,0.331802967437527,0.340023667754586,NaN,0.284832748438611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,11-12',11-12',0.312258064516129,NaN,0.171184500555302,0.244538837549296,0.370993430989446,0.254592204619786,0.149198345069724,-0.0166123194455993,NaN,0.269324053380412,NaN,NaN,0.284832748438611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,11-12',11-12',0.312258064516129,0.176450360512203,0.11528529524237,0.126717910905279,0.275312495266604,0.376844360379534,0.213757706270233,NaN,NaN,0.313278773766771,0.199729814100597,NaN,0.233524267368769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,11-12',11-12',0.312258064516129,NaN,0.171184500555302,0.244538837549296,0.223804489870986,0.274400716016831,0.138021297897372,0.0904219019140333,NaN,0.239580609692005,0.215296753609505,NaN,0.271275844768055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,11-12',11-12',0.312258064516129,0.571819647447242,0.103720461827049,0.160251845474667,0.476439486187977,0.394393288406346,0.411639555303313,0.138261566999924,NaN,0.193237885853518,0.114627786375146,NaN,0.322583763207781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,11-12',11-12',0.312258064516129,0.715013792076972,0.103720461827049,0.138021297897372,0.368137917912643,0.331575474399746,0.244538837549296,0.16784952418542,NaN,0.394061889417344,0.278154066200126,NaN,0.376665608316376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,18-19',11-12',0.163102101543612,0.668871657114987,NaN,0.17601452037419,0.343897388419414,0.234061729350219,-0.0584067390076866,-0.123797390351118,NaN,0.589367226505444,0.146686898168566,NaN,0.34133509752593,1.21204903803799,NaN,-0.46380804684625,0.586865111218392,NaN,-0.0505447945746219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,18-19',11-12',0.163102101543612,0.146166235085717,-0.0252211790038048,0.0941533320592484,0.136186044305328,0.036233955928041,0.0699871018540087,0.297430055133166,NaN,NaN,0.122529985459034,NaN,0.319705081972401,0.889564864595157,NaN,NaN,0.617058293900489,NaN,-0.0263758022493475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,18-19',11-12',0.163102101543612,0.105637907858169,-0.160674412957841,0.145685920935125,0.444758446376296,-0.0584067390076866,0.112742420218369,0.0314312662662362,NaN,0.389097126252486,0.189046728947794,NaN,0.203983422342546,1.11936183947727,NaN,-0.126740262848652,0.529720082716191,NaN,0.086465224916415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,18-19',11-12',0.163102101543612,0.680622000557209,0.0523633932418779,0.148921762431085,NaN,0.180720836809828,0.287537833534823,NaN,NaN,0.307133220717457,0.134680878071473,NaN,0.394911189788436,NaN,NaN,-0.0297932026119254,0.602074860511841,NaN,-0.115495807224556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
