cruise,cast,niskin,niskin_other_method,station,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,a,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.324336572703518,0.118313681105854,0.113147795688936
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,a,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.0521718570135837,0.111851969133014,0.127287626052188
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,a,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.349756401400258,0.196210262202231,0.113147795688936
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,b,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.118249949096833,0.10273187448496,0.0612677231734164
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,b,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.238151111292971,-0.0669205912591653,-0.0250431871141355
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<200,b,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.243770420242596,0.126010758445443,0.156196387709532
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,a,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.376245081995237,0.335617601704573,-0.0452437710954281
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,a,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.393390435920019,-0.00187897806849789,-0.0316909237136017
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,a,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.305669035268063,NaN,0.208194272024109
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,b,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.439829706205331,0.221208244228505,0.251740313534694
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,b,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.253378251554033,0.103062553248873,-0.0624584053671268
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>10&<200,b,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,NaN,0.23149387323619,0.105981908375197
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,a,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.147865390557034,-0.0477620785938386,0.23233155417654
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,a,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.131627454095815,0.246036283707715,0.224013812612223
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,a,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,NaN,NaN,0.0379223452543731
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,b,a,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,-0.0202467961498398,-0.0987961855001218,-0.114117338402664
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,b,b,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.162072087114186,0.0193282172411788,0.160419933588986
en657,1',17-18-19-20',NA',L1,,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,15%,>0&<10,b,c,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,-0.0823174599000253,-0.110560934493176,0.0342052993207237
