cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
at46,1',16-17-24',NA,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,0,0,0,1.01388888899237,0.208163891659633,0.42702633821388,0.113909909193511,0.401838520326845,0.153255912084793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.358450617260144,0.10096092020153,0.392305770419964,0.145362883968589,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,-0.00970453302760858,0.153065057016174,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,-0.0190850846119993,0.094545979510652,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,17',17-18-19',NA,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,0,0,0,1.02430555550382,0.235208869931716,0.0832679946876471,0.0891017780988193,0.169042072968212,0.0647150039075779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,2',22-23',NA,2022-02-17 02:46:32+00:00,2022-02-17 03:20:00+00:00,2022-02-18 03:32:00+00:00,0,0,0,1.00833333330229,0.166788176724228,0.670637921853406,0.164220792264841,0.660509799863563,0.154779059480644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,6',21-22-23',NA,2022-02-17 13:27:22+00:00,2022-02-17 14:30:00+00:00,2022-02-18 14:45:00+00:00,0,0,0,1.01041666674428,0.20112590716918,0.0484925704294845,0.083504194995715,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,7',11-12',NA,2022-02-17 22:10:38+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,0,0,0,1.01111111114733,0.171192443919717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.463819916066041,0.183391186354646,0.350525708081044,0.137210249936339,NaN,NaN,NaN,NaN
at46,7',16-17',NA,2022-02-17 22:15:15+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,0,0,0,1.01111111114733,0.185461323392358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.146522550123786,0.137639425474479,0,0,NaN,NaN,NaN,NaN
at46,7',22-23',NA,2022-02-17 22:19:22+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,0,0,0,1.01111111114733,0.193479670278781,0.493153710135331,0.160677015402249,0.502791334831272,0.0887874164135818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
