cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en668,1',19-20-21',NA,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,0,0,0,1,0.167802971730605,0.749002979469345,0.321633016545838,0.154216006869008,0.0469745332646415,0.594786972600337,0.321633016545838,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',NA,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.184217203755392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',21-22-23-24',NA,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.159387663214768,0.784703282419523,0.131850009941945,0,0,0.784703282419523,0.131850009941945,1.45664483385634,0.0774447959836455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',9-10',NA,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.233392886145851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,15',10-11',NA,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.241343694668502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,15',21-22-23-24',NA,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.186762987357909,1.4498387788598,0.110847408463676,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',21-22-23-24',NA,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.2,0.769986288279218,0.0681683821491682,0,0,0.769986288279218,0.0681683821491682,1.14668716199331,0.0252827027158429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',9-10-12',NA,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.231401349285706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,2',20-21-22-23',NA,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,0,0,0,1.00694444437977,0.166797002744167,0.330611068016602,0.0587595568856152,0.111783942763592,0.0409639236121609,0.21882712525301,0.0587595568856152,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,5',21-22-23-24',NA,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,0,0,0,1.02083333337214,0.158424263044059,-0.0575093634134534,0.0338489281637304,0,0,-0.0575093634134534,0.0338489281637304,0.434678942503226,0.0194196570031656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
