cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en668,1',19-20-21',NA,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,0,0,0,1,0.167802971730605,0.26877736325921,0.268466393428791,0.187179700742772,0.0341397827799558,0.0815976625164371,0.268466393428791,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',NA,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.184217203755392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0577813060262333,0.48557936088351,0,0,0.0577813060262333,0.48557936088351,0.903779736551268,0.0983392825456748
en668,11',21-22-23-24',NA,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.159387663214768,1.40211580723716,0.0648002281875301,0.459570955690589,0.0661052320670973,0.942544851546576,0.0648002281875301,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',9-10',NA,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.233392886145851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100929839098144,0.0516022240495393,0,0,0.100929839098144,0.0516022240495393,0.278131651305197,0.0901313329886522
en668,15',10-11',NA,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.241343694668502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0449723054915599,0.156773003520755,0,0,NaN,NaN,NaN,NaN
en668,15',21-22-23-24',NA,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.186762987357909,0.960369438795908,0.369501899069536,0,0,0.960369438795908,0.369501899069536,1.38296737340573,0.0993449875358807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',21-22-23-24',NA,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.2,1.4639773342477,0.0594823363725924,0.752044320934861,0.0847613156475354,0.711933013312842,0.0594823363725924,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',9-10-12',NA,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.231401349285706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.153030894479612,0.0562264480165972,0,0,NaN,NaN,NaN,NaN
en668,2',20-21-22-23',NA,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,0,0,0,1.00694444437977,0.166797002744167,0.0359517697192757,0.0331365124117943,0,0,0.0359517697192757,0.0331365124117943,0.809257701764464,0.0647465959905486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,5',21-22-23-24',NA,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,0,0,0,1.02083333337214,0.158424263044059,0.219382465560301,0.0108659044595788,0.271020035768857,0.0304644684113963,-0.051637570208556,0.0108659044595788,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
