cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en668,1',19-20-21',NA,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,0,0,0,1,0.167802971730605,0.321153805865385,0.0556460723179138,0.206892774114331,0.016133260302767,0.114261031751054,0.0556460723179138,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',NA,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.184217203755392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0228725798707321,0.048594178453241,-0.127339731075684,0.0500475153842287,-0.0228725798707321,0.048594178453241,0.865379183077279,0.0460028001331731
en668,11',21-22-23-24',NA,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.159387663214768,1.39912501482507,0.0334640435126011,0.45637156365007,0.0205969862193753,0.942753451174997,0.0334640435126011,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',9-10',NA,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.233392886145851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119289670046405,0.036655362872634,-0.218533019343762,0.0409021275851966,0.0119289670046405,0.036655362872634,0.240767899786405,0.0476231942430528
en668,15',10-11',NA,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.241343694668502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0209886131063273,0.251551818492359,0,0,NaN,NaN,NaN,NaN
en668,15',21-22-23-24',NA,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.186762987357909,1.04481842248181,0.0405899156045176,-0.102232761806187,0.0396246354838103,1.04481842248181,0.0405899156045176,1.43950329181699,0.00953564379243636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',21-22-23-24',NA,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.2,1.36500660411046,0.0147086855582293,0.669919335058258,0.0124334251608137,0.6950872690522,0.0147086855582293,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',9-10-12',NA,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.231401349285706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.135995606220957,0.0658288092525585,0,0,NaN,NaN,NaN,NaN
en668,2',20-21-22-23',NA,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,0,0,0,1.00694444437977,0.166797002744167,0.147585454012613,0.010954702083613,0.159161623103,0.00964985091164871,-0.0115761690903876,0.010954702083613,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,5',21-22-23-24',NA,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,0,0,0,1.02083333337214,0.158424263044059,0.205874243216769,0.0127910940218471,0.252593412214978,0.0168942445427945,-0.0467191689982085,0.0127910940218471,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
