cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,T3kNoN_LL
en668,1',19-20-21',NA,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,0,0,0,1,0.167802971730605,0.221066403400042,0.309248843424793,0.175651184967652,0.0771994773785524,0.0454152184323902,0.309248843424793,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en668,11',15-16',NA,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.184217203755392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02947130160404,0.0939449332849127,1.50457026402622,0.107664404580301,0.524901037577824,0.0939449332849127,0,0,0
en668,11',21-22-23-24',NA,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.159387663214768,1.40147146532626,0.162386039533288,0.46367698941342,0.0860311742496521,0.93779447591284,0.162386039533288,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en668,11',9-10',NA,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,0,0,0,1.03819444449618,0.233392886145851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.447260637837153,0.147284293796251,0,0,NaN,NaN,NaN,NaN,0
en668,15',10-11',NA,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.241343694668502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00684008214624751,0.250170079164007,-0.542927187200386,0.177055469381155,-0.00684008214624751,0.250170079164007,0.311577327094531,0.159818571131397,0
en668,15',21-22-23-24',NA,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,0,0,0,1.00347222224809,0.186762987357909,1.58205102673662,0.182690771657378,0.695567172096194,0.0940432703853299,0.886483854640425,0.182690771657378,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en668,18',21-22-23-24',NA,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.2,2.31607454734779,0.151144213646872,1.39855516690568,0.0964223181062189,0.917519380442109,0.151144213646872,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en668,18',9-10-12',NA,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,0,0,0,1.00694444449618,0.231401349285706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161814479224962,0.0833933634815883,0,0,NaN,NaN,NaN,NaN,0
en668,2',20-21-22-23',NA,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,0,0,0,1.00694444437977,0.166797002744167,0.459415348973892,0.0763048686627201,0,0,0.459415348973892,0.0763048686627201,1.14945648048088,0.0822749372649545,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en668,5',21-22-23-24',NA,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,0,0,0,1.02083333337214,0.158424263044059,0.704974677448641,0.316897576557374,0.730663785524957,0.186076243295515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
