cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level_HL,light_level_LL,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,mu0_HL_u10,mu0_std_HL_u10,g_HL_u10,g_std_HL_u10,kNoN_HL_u10,kNoN_std_HL_u10,muN_HL_u10,muN_std_HL_u10,mu0_LL_u10,mu0_std_LL_u10,g_LL_u10,g_std_LL_u10,kNoN_LL_u10,kNoN_std_LL_u10,muN_LL_u10,muN_std_LL_u10,mu0_HL_d10,mu0_std_HL_d10,g_HL_d10,g_std_HL_d10,kNoN_HL_d10,kNoN_std_HL_d10,muN_HL_d10,muN_std_HL_d10,mu0_LL_d10,mu0_std_LL_d10,g_LL_d10,g_std_LL_d10,kNoN_LL_d10,kNoN_std_LL_d10,muN_LL_d10,muN_std_LL_d10,mu0_HL_d10_sf,mu0_std_HL_d10_sf,g_HL_d10_sf,g_std_HL_d10_sf,kNoN_HL_d10_sf,kNoN_std_HL_d10_sf,muN_HL_d10_sf,muN_std_HL_d10_sf,mu0_LL_d10_sf,mu0_std_LL_d10_sf,g_LL_d10_sf,g_std_LL_d10_sf,kNoN_LL_d10_sf,kNoN_std_LL_d10_sf,muN_LL_d10_sf,muN_std_LL_d10_sf,mu0_HL_no_mesh,mu0_std_HL_no_mesh,g_HL_no_mesh,g_std_HL_no_mesh,kNoN_HL_no_mesh,kNoN_std_HL_no_mesh,muN_HL_no_mesh,muN_std_HL_no_mesh,mu0_LL_no_mesh,mu0_std_LL_no_mesh,g_LL_no_mesh,g_std_LL_no_mesh,kNoN_LL_no_mesh,kNoN_std_LL_no_mesh,muN_LL_no_mesh,muN_std_LL_no_mesh
en668,1',19-20-21',NA',,NaN,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,41.1945533333333,-70.88304,4.12466666666667,19.3597666666667,3,23.1077543252595,1.39589793327764,65%,NA,1.13777115388437,0.977878296083478,0.159892857800892,0.859468349803899,0.140531650196101,1,0.167802971730605,0.26877736325921,0.268466393428791,0.187179700742772,0.0341397827799558,0.0815976625164371,0.268466393428791,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.221066403400042,0.309248843424793,0.175651184967652,0.0771994773785524,0.0454152184323902,0.309248843424793,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.321153805865385,0.0556460723179138,0.206892774114331,0.016133260302767,0.114261031751054,0.0556460723179138,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.749002979469345,0.321633016545838,0.154216006869008,0.0469745332646415,0.594786972600337,0.321633016545838,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',NA',,NaN,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.76759,-70.878455,13.068,19.133,1,15.4565,1.48476229094292,NA,30%,0.252130740259404,0.19583156456078,0.0562991756986236,0.776706419690434,0.223293580309566,1.03819444449618,0.184217203755392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0577813060262333,0.48557936088351,0,0,0.0577813060262333,0.48557936088351,0.903779736551268,0.0983392825456748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02947130160404,0.0939449332849127,1.50457026402622,0.107664404580301,0.524901037577824,0.0939449332849127,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0228725798707321,0.048594178453241,-0.127339731075684,0.0500475153842287,-0.0228725798707321,0.048594178453241,0.865379183077279,0.0460028001331731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',21-22-23-24',NA',,NaN,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7671875,-70.87829,4.77425,23.2411,3,25.07725,1.06638484436325,65%,NA,0.142091442303003,0.117620493774908,0.0244709485280949,0.827780279153534,0.172219720846466,1.03819444449618,0.159387663214768,1.40211580723716,0.0648002281875301,0.459570955690589,0.0661052320670973,0.942544851546576,0.0648002281875301,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.40147146532626,0.162386039533288,0.46367698941342,0.0860311742496521,0.93779447591284,0.162386039533288,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.39912501482507,0.0334640435126011,0.45637156365007,0.0205969862193753,0.942753451174997,0.0334640435126011,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.784703282419523,0.131850009941945,0,0,0.784703282419523,0.131850009941945,1.45664483385634,0.0774447959836455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',9-10',NA',,NaN,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.768825,-70.87886,35.9445,12.3473,1,15.4565,1.48476229094292,NA,3%,1.1817069026469,0.978837941123795,0.202868961523108,0.828325483189865,0.171674516810135,1.03819444449618,0.233392886145851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.100929839098144,0.0516022240495393,0,0,0.100929839098144,0.0516022240495393,0.278131651305197,0.0901313329886522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.447260637837153,0.147284293796251,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119289670046405,0.036655362872634,-0.218533019343762,0.0409021275851966,0.0119289670046405,0.036655362872634,0.240767899786405,0.0476231942430528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,15',10-11',NA',,NaN,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.126215,-70.7676,38.377,12.8425,1,17.1455102040816,1.64401552808842,NA,3%,1.04061349118583,0.637844070130999,0.402769421054835,0.612950029510133,0.387049970489867,1.00347222224809,0.241343694668502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0449723054915599,0.156773003520755,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00684008214624751,0.250170079164007,-0.542927187200386,0.177055469381155,-0.00684008214624751,0.250170079164007,0.311577327094531,0.159818571131397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0209886131063273,0.251551818492359,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,15',21-22-23-24',NA',,NaN,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.123795,-70.76669,4.30675,23.709975,3,23.8276034482759,0.99155700043375,65%,NA,0.120441850193442,0.0959005276957235,0.0245413224977182,0.796239243599278,0.203760756400722,1.00347222224809,0.186762987357909,0.960369438795908,0.369501899069536,0,0,0.960369438795908,0.369501899069536,1.38296737340573,0.0993449875358807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.58205102673662,0.182690771657378,0.695567172096194,0.0940432703853299,0.886483854640425,0.182690771657378,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.04481842248181,0.0405899156045176,-0.102232761806187,0.0396246354838103,1.04481842248181,0.0405899156045176,1.43950329181699,0.00953564379243636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4498387788598,0.110847408463676,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',21-22-23-24',NA',,NaN,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.36922,-70.89401,3.81975,21.024425,3,23.4781649484536,1.05732140430833,65%,NA,0.20251069404139,0.188250368742273,0.0142603252991173,0.929582359259493,0.0704176407405068,1.00694444449618,0.2,1.4639773342477,0.0594823363725924,0.752044320934861,0.0847613156475354,0.711933013312842,0.0594823363725924,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.31607454734779,0.151144213646872,1.39855516690568,0.0964223181062189,0.917519380442109,0.151144213646872,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.36500660411046,0.0147086855582293,0.669919335058258,0.0124334251608137,0.6950872690522,0.0147086855582293,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.769986288279218,0.0681683821491682,0,0,0.769986288279218,0.0681683821491682,1.14668716199331,0.0252827027158429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,18',9-10-12',NA',,NaN,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3682033333333,-70.8929133333333,30.9253333333333,11.0897666666667,1,15.9322755102041,2.24227912303077,NA,3%,3.33991021251923,1.63843396550199,1.70147624701724,0.490562278997958,0.509437721002042,1.00694444449618,0.231401349285706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.153030894479612,0.0562264480165972,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.161814479224962,0.0833933634815883,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.135995606220957,0.0658288092525585,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,2',20-21-22-23',NA',,NaN,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,41.03132,-70.8792275,2.88575,20.542875,3,24.0153642611684,1.52187537822788,65%,NA,0.449951968870442,0.413543036040798,0.036408932829644,0.919082623594148,0.0809173764058524,1.00694444437977,0.166797002744167,0.0359517697192757,0.0331365124117943,0,0,0.0359517697192757,0.0331365124117943,0.809257701764464,0.0647465959905486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.459415348973892,0.0763048686627201,0,0,0.459415348973892,0.0763048686627201,1.14945648048088,0.0822749372649545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.147585454012613,0.010954702083613,0.159161623103,0.00964985091164871,-0.0115761690903876,0.010954702083613,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.330611068016602,0.0587595568856152,0.111783942763592,0.0409639236121609,0.21882712525301,0.0587595568856152,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,5',21-22-23-24',NA',,NaN,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,40.6933675,-70.8780625,4.47125,21.267175,3,24.5909322033898,1.06319989776094,65%,NA,0.394884337640226,0.36524090234482,0.0296434352954059,0.924931347055822,0.0750686529441785,1.02083333337214,0.158424263044059,0.219382465560301,0.0108659044595788,0.271020035768857,0.0304644684113963,-0.051637570208556,0.0108659044595788,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.704974677448641,0.316897576557374,0.730663785524957,0.186076243295515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.205874243216769,0.0127910940218471,0.252593412214978,0.0168942445427945,-0.0467191689982085,0.0127910940218471,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0575093634134534,0.0338489281637304,0,0,-0.0575093634134534,0.0338489281637304,0.434678942503226,0.0194196570031656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
